test/mean_Q,train/mean_Q,epoch,train/episode,stats_o/std,test/success_rate,stats_o/mean,stats_g/mean,test/episode,train/success_rate,stats_g/std
-20.088749,-30.151318,152,15300.0,0.09358764,0.4,0.1914709,0.8097957,3060.0,0.13,0.16315894
-17.809769,-27.538315,153,15400.0,0.093580045,0.4,0.19148983,0.80987686,3080.0,0.15,0.16312928
-16.969494,-27.536705,154,15500.0,0.093544446,0.5,0.19150354,0.8099606,3100.0,0.17,0.163122
-15.592938,-29.773735,155,15600.0,0.09362084,0.55,0.19153014,0.81005764,3120.0,0.15,0.16317539
-19.571112,-28.973215,156,15700.0,0.093568586,0.55,0.19158296,0.8101415,3140.0,0.14,0.16315289
-17.192135,-29.267128,157,15800.0,0.09356275,0.4,0.1915931,0.81011146,3160.0,0.14,0.16324107
-10.536128,-29.188923,158,15900.0,0.09351695,0.75,0.19160523,0.81016827,3180.0,0.13,0.16311085
-18.011347,-28.774746,159,16000.0,0.09341692,0.4,0.19163859,0.8103394,3200.0,0.22,0.1629449
-17.150274,-28.352354,160,16100.0,0.09340806,0.45,0.19167094,0.81041193,3220.0,0.21,0.16292243
-18.988832,-30.279564,161,16200.0,0.09336116,0.45,0.19171424,0.8105033,3240.0,0.11,0.16287422
-15.077664,-28.709297,162,16300.0,0.0933567,0.55,0.19174291,0.8106289,3260.0,0.16,0.16291212
-19.02364,-30.203424,163,16400.0,0.09342231,0.45,0.19173716,0.81073624,3280.0,0.08,0.16286911
-20.46751,-29.00304,164,16500.0,0.09346294,0.5,0.19175582,0.8107643,3300.0,0.17,0.1629743
-18.240044,-28.226246,165,16600.0,0.09353097,0.5,0.19177254,0.8109185,3320.0,0.22,0.16300039
-17.542599,-28.107822,166,16700.0,0.093575746,0.35,0.1917846,0.81095433,3340.0,0.18,0.16293424
-17.230902,-28.419937,167,16800.0,0.09358278,0.45,0.19180559,0.8110501,3360.0,0.16,0.16287856
-18.077229,-28.331318,168,16900.0,0.0935848,0.5,0.19182104,0.81115514,3380.0,0.21,0.16272773
-19.628815,-27.489042,169,17000.0,0.09358001,0.45,0.19184244,0.811224,3400.0,0.24,0.16270937
-13.760826,-30.014597,170,17100.0,0.09353396,0.5,0.19186969,0.8113162,3420.0,0.11,0.1626033
-18.393993,-29.200962,171,17200.0,0.09355701,0.45,0.1918741,0.8114307,3440.0,0.17,0.16262032
-20.133446,-28.85188,172,17300.0,0.09354095,0.35,0.1918676,0.8114955,3460.0,0.14,0.16262265
-18.89824,-29.763254,173,17400.0,0.09351573,0.35,0.1919062,0.8116252,3480.0,0.12,0.1626255
-18.662004,-28.422325,174,17500.0,0.09349029,0.45,0.19191642,0.8116304,3500.0,0.17,0.16262054
-18.027555,-27.334648,175,17600.0,0.09343406,0.55,0.19192371,0.8117564,3520.0,0.2,0.16247393
-12.512758,-27.67301,176,17700.0,0.09344891,0.6,0.1919437,0.81183714,3540.0,0.17,0.16240035
-16.605762,-29.179367,177,17800.0,0.09349663,0.5,0.19197974,0.8118914,3560.0,0.15,0.16240956
-14.898832,-30.166132,178,17900.0,0.09357481,0.6,0.19201095,0.8120056,3580.0,0.12,0.16247024
-17.066357,-27.234007,179,18000.0,0.09360774,0.45,0.19204023,0.8120792,3600.0,0.21,0.16246088
-19.963327,-26.785576,180,18100.0,0.09360236,0.45,0.19206762,0.81215805,3620.0,0.17,0.16239113
-19.11252,-28.005356,181,18200.0,0.09376195,0.4,0.19207412,0.8122366,3640.0,0.13,0.16243866
-13.683622,-27.335587,182,18300.0,0.09383649,0.65,0.19207573,0.8122743,3660.0,0.2,0.16255327
-18.676395,-28.095686,183,18400.0,0.09400365,0.5,0.1920866,0.8122909,3680.0,0.09,0.16258682
-21.541452,-27.661236,184,18500.0,0.09405513,0.4,0.19210052,0.81232053,3700.0,0.08,0.16253264
-15.759755,-28.212452,185,18600.0,0.09405507,0.45,0.19211525,0.8123753,3720.0,0.1,0.16253482
-18.259825,-28.421076,186,18700.0,0.09404086,0.3,0.19213268,0.8124849,3740.0,0.18,0.16257791
-18.786081,-27.632885,187,18800.0,0.09403754,0.35,0.1921385,0.8125451,3760.0,0.2,0.16263892
-18.559498,-29.451923,188,18900.0,0.09405845,0.45,0.1921683,0.8127112,3780.0,0.12,0.16258316
-18.276752,-29.356558,189,19000.0,0.094050094,0.35,0.19216475,0.81273705,3800.0,0.1,0.16264464
-17.23013,-28.845327,190,19100.0,0.09406619,0.35,0.19216198,0.81272477,3820.0,0.19,0.16264878
-19.373922,-27.736526,191,19200.0,0.09404646,0.35,0.1921548,0.8127529,3840.0,0.18,0.16264597
-16.13462,-28.995216,192,19300.0,0.094089575,0.55,0.19215599,0.8128068,3860.0,0.17,0.16258918
-20.450548,-29.158316,193,19400.0,0.094076015,0.45,0.19214787,0.81279445,3880.0,0.15,0.16264641
-16.908894,-29.236229,194,19500.0,0.09424055,0.45,0.19215354,0.81284267,3900.0,0.2,0.16277887
-14.250728,-30.186274,195,19600.0,0.094237335,0.5,0.19217813,0.81284785,3920.0,0.14,0.16280182
-21.545126,-28.042166,196,19700.0,0.09427426,0.5,0.19218141,0.81285596,3940.0,0.15,0.1628352
-18.452961,-27.22097,197,19800.0,0.09432755,0.5,0.1922004,0.8128271,3960.0,0.18,0.16289473
-13.13765,-30.200594,198,19900.0,0.09428756,0.65,0.19218342,0.81287366,3980.0,0.14,0.16286184
-15.869669,-29.452417,199,20000.0,0.094298124,0.45,0.19219774,0.8129008,4000.0,0.16,0.16292442
