train/success_rate,test/mean_Q,train/episode,stats_o/mean,test/episode,test/success_rate,epoch,stats_o/std,train/mean_Q,stats_g/mean,stats_g/std
0.3,-12.528773,13900.0,0.20358871,2780.0,0.5,138,0.10471471,-21.979351,0.84121895,0.09557504
0.3,-14.014697,14000.0,0.20356683,2800.0,0.35,139,0.105030105,-20.193066,0.84114295,0.095637955
0.33,-15.443823,14100.0,0.20354787,2820.0,0.3,140,0.105256565,-19.473423,0.8411641,0.09559687
0.27,-19.500597,14200.0,0.20358141,2840.0,0.3,141,0.105500214,-22.946266,0.8411911,0.095631875
0.2,-30.100927,14300.0,0.2036119,2860.0,0.2,142,0.10580392,-22.226887,0.8412098,0.09566385
0.3,-23.526428,14400.0,0.20357999,2880.0,0.35,143,0.1059713,-21.05602,0.84120035,0.09572386
0.29,-16.689312,14500.0,0.20357907,2900.0,0.4,144,0.1061884,-22.026295,0.8412416,0.095745504
0.28,-14.326378,14600.0,0.20354407,2920.0,0.6,145,0.10631642,-21.055374,0.8412166,0.09568867
0.4,-26.948421,14700.0,0.20353521,2940.0,0.3,146,0.10655266,-18.186218,0.84123963,0.09564627
0.25,-27.94719,14800.0,0.20354466,2960.0,0.2,147,0.106702365,-22.473322,0.84126735,0.09563193
0.27,-23.110485,14900.0,0.20352474,2980.0,0.05,148,0.10677644,-22.370838,0.84125996,0.09557926
0.36,-24.186384,15000.0,0.2035038,3000.0,0.25,149,0.1070059,-18.278097,0.8412342,0.095570706
0.28,-19.375006,15100.0,0.2035184,3020.0,0.2,150,0.107115984,-23.529985,0.8412993,0.09553466
0.38,-22.510397,15200.0,0.2035126,3040.0,0.25,151,0.10726282,-20.67414,0.8413231,0.09547482
0.27,-15.437093,15300.0,0.20350292,3060.0,0.45,152,0.107430354,-23.781061,0.84129816,0.0955907
0.29,-23.318623,15400.0,0.2035038,3080.0,0.45,153,0.10755962,-23.787165,0.8412692,0.09564063
0.29,-18.402884,15500.0,0.20350309,3100.0,0.45,154,0.10769842,-21.915361,0.8412995,0.095642924
0.4,-16.77698,15600.0,0.20349726,3120.0,0.45,155,0.10796095,-21.862795,0.8413027,0.09560761
0.31,-15.9073715,15700.0,0.20349663,3140.0,0.6,156,0.1081777,-22.090443,0.8413288,0.0955773
0.34,-16.11776,15800.0,0.20349117,3160.0,0.55,157,0.10830991,-20.283728,0.8413252,0.095581144
0.2,-19.886814,15900.0,0.2035014,3180.0,0.45,158,0.10840661,-27.276064,0.84132975,0.09559455
0.32,-27.635315,16000.0,0.20351486,3200.0,0.3,159,0.10849645,-24.240002,0.8413396,0.095572196
0.38,-22.075375,16100.0,0.20353694,3220.0,0.4,160,0.10872728,-22.118969,0.84131885,0.09554708
0.31,-16.549503,16200.0,0.20353107,3240.0,0.45,161,0.108726054,-25.332651,0.84127575,0.09553158
