train/mean_Q,stats_o/mean,epoch,stats_g/std,test/mean_Q,test/success_rate,stats_o/std,train/episode,stats_g/mean,train/success_rate,test/episode
-3.921462,0.20127335,121,0.074818544,-1.8296105,0.95,0.08986228,12200.0,0.8369927,0.86,2440.0
-3.49051,0.20127814,122,0.074782625,-1.8366854,0.95,0.089966804,12300.0,0.83703995,0.85,2460.0
-3.3863046,0.2013111,123,0.07473631,-2.9772544,0.9,0.09030237,12400.0,0.8370908,0.88,2480.0
-3.4814332,0.20129114,124,0.07465438,-1.4909258,1.0,0.0905849,12500.0,0.8371046,0.85,2500.0
-3.6093872,0.20128922,125,0.07456941,-2.1844735,0.95,0.090890855,12600.0,0.83708215,0.87,2520.0
-3.3851595,0.20126995,126,0.074557945,-3.3418007,0.85,0.09105084,12700.0,0.8370812,0.91,2540.0
-3.1197207,0.2012789,127,0.07447651,-2.4356651,1.0,0.0911476,12800.0,0.83708197,0.91,2560.0
-3.1238728,0.20125799,128,0.07444614,-1.9804585,1.0,0.09137841,12900.0,0.83708984,0.91,2580.0
-3.276921,0.20123671,129,0.074417196,-1.9487045,0.9,0.09161945,13000.0,0.83706564,0.93,2600.0
-2.4753742,0.20124765,130,0.07435213,-2.2727737,0.9,0.09171193,13100.0,0.83710504,0.93,2620.0
-2.9791305,0.20121998,131,0.07427141,-2.7803059,0.95,0.09183837,13200.0,0.83708507,0.92,2640.0
-3.072077,0.20121692,132,0.074220955,-1.7629108,1.0,0.09193278,13300.0,0.8370802,0.89,2660.0
-2.6030073,0.20125404,133,0.07413448,-1.8955055,0.9,0.09206781,13400.0,0.83712703,0.97,2680.0
-2.9115036,0.20126039,134,0.07410582,-1.4690408,0.95,0.09226909,13500.0,0.8371334,0.95,2700.0
-2.6973646,0.20130989,135,0.07403123,-1.461489,1.0,0.09240737,13600.0,0.8371472,0.93,2720.0
-3.0654624,0.2013398,136,0.074021466,-1.6378696,1.0,0.09262494,13700.0,0.8371866,0.96,2740.0
-2.9521039,0.20136759,137,0.07398359,-1.6019274,1.0,0.09278428,13800.0,0.8372137,0.88,2760.0
-3.617616,0.20134686,138,0.074050486,-1.4939234,1.0,0.09315534,13900.0,0.83724445,0.9,2780.0
-2.847904,0.20133244,139,0.07403482,-1.3275344,0.95,0.09330619,14000.0,0.8372635,0.89,2800.0
-2.50386,0.20137182,140,0.07394754,-2.15564,1.0,0.093395874,14100.0,0.8372877,0.93,2820.0
-3.184006,0.2013599,141,0.073976,-1.1617681,1.0,0.093519546,14200.0,0.83728,0.9,2840.0
-2.725712,0.20133072,142,0.07391376,-1.6332432,0.95,0.09364876,14300.0,0.8372678,0.91,2860.0
