train/success_rate,train/episode,stats_g/mean,train/mean_Q,test/success_rate,stats_o/mean,epoch,stats_o/std,test/mean_Q,test/episode,stats_g/std
0.47,13500.0,0.8431451,-15.09566,0.5,0.20440313,134,0.11641314,-17.12701,2700.0,0.10116726
0.49,13600.0,0.84308475,-15.28412,0.55,0.20438434,135,0.11655133,-14.067831,2720.0,0.10120713
0.49,13700.0,0.8430483,-14.487151,0.6,0.2043547,136,0.11655831,-13.463788,2740.0,0.101130635
0.49,13800.0,0.84297425,-14.790891,0.45,0.20434666,137,0.11664093,-18.219837,2760.0,0.10124614
0.44,13900.0,0.8429229,-16.310875,0.75,0.20437253,138,0.116639316,-7.805187,2780.0,0.10123619
0.5,14000.0,0.84284943,-15.56942,0.75,0.20436186,139,0.116679594,-7.574353,2800.0,0.10132746
0.53,14100.0,0.84277874,-14.26543,0.6,0.20437458,140,0.116747506,-11.15085,2820.0,0.10136055
0.44,14200.0,0.84270746,-16.68149,0.6,0.20439976,141,0.11684129,-12.435373,2840.0,0.10140657
0.45,14300.0,0.84260565,-16.06178,0.35,0.20442395,142,0.116962336,-19.908226,2860.0,0.10167104
0.39,14400.0,0.8424955,-16.573267,0.5,0.20440346,143,0.11713328,-16.207478,2880.0,0.10204238
0.48,14500.0,0.8424144,-14.863917,0.65,0.20439468,144,0.117261216,-12.084814,2900.0,0.10226817
0.49,14600.0,0.8423831,-15.5739355,0.7,0.20440972,145,0.117240906,-8.190351,2920.0,0.10229748
0.53,14700.0,0.842319,-13.642543,0.5,0.20439823,146,0.11734915,-19.58793,2940.0,0.10247936
0.43,14800.0,0.84232116,-14.208052,0.4,0.20439605,147,0.11742813,-17.796946,2960.0,0.102511324
0.49,14900.0,0.84229183,-15.14787,0.6,0.20440131,148,0.11747016,-14.020268,2980.0,0.102539234
0.55,15000.0,0.84225106,-11.947344,0.5,0.20442057,149,0.11751589,-12.718615,3000.0,0.102528356
0.43,15100.0,0.8423109,-16.380274,0.7,0.20444767,150,0.117492475,-11.39455,3020.0,0.10249975
0.52,15200.0,0.8423059,-13.713008,0.65,0.20445298,151,0.11754006,-11.320123,3040.0,0.10253346
0.43,15300.0,0.8422408,-13.501194,0.75,0.20442834,152,0.117639236,-9.172291,3060.0,0.102525495
0.5,15400.0,0.84219176,-14.875139,0.5,0.20439889,153,0.11765935,-14.4897,3080.0,0.1024968
0.52,15500.0,0.84214324,-14.229137,0.65,0.20438877,154,0.117701866,-12.228028,3100.0,0.10254067
0.46,15600.0,0.84213185,-14.662332,0.75,0.20439693,155,0.11766917,-7.677325,3120.0,0.10248867
0.55,15700.0,0.84215444,-14.133493,0.65,0.20441301,156,0.11766151,-13.9654875,3140.0,0.102457516
0.48,15800.0,0.8421323,-13.745171,0.75,0.20440583,157,0.11767248,-8.614737,3160.0,0.10244226
0.36,15900.0,0.84210664,-16.98697,0.65,0.20439857,158,0.117673025,-12.694044,3180.0,0.10243372
0.38,16000.0,0.84213287,-15.41688,0.35,0.20438202,159,0.117622145,-19.37647,3200.0,0.102389835
0.51,16100.0,0.8421119,-13.534855,0.7,0.2043959,160,0.11757241,-11.167522,3220.0,0.102325775
0.44,16200.0,0.84207153,-15.595704,0.8,0.20433466,161,0.11758978,-5.5652194,3240.0,0.10229015
