epoch,test/mean_Q,train/success_rate,test/success_rate,stats_o/std,stats_o/mean,test/episode,stats_g/mean,train/episode,stats_g/std,train/mean_Q
100,-16.625584,0.16,0.1,0.07793777,0.20117544,2020.0,0.8370417,10100.0,0.07768083,-20.761421
101,-24.450483,0.25,0.1,0.078088135,0.20115641,2040.0,0.83700776,10200.0,0.07758955,-17.48113
102,-22.366306,0.1,0.1,0.07822198,0.20115022,2060.0,0.8370401,10300.0,0.077559814,-21.181015
103,-21.972788,0.14,0.15,0.07852837,0.20115568,2080.0,0.8370653,10400.0,0.0776914,-22.760803
104,-20.243692,0.22,0.2,0.07874997,0.20114374,2100.0,0.8370481,10500.0,0.07766743,-21.846392
105,-16.94997,0.17,0.3,0.07904295,0.20116241,2120.0,0.83701736,10600.0,0.07764849,-20.150427
106,-15.299789,0.25,0.35,0.07943796,0.20116907,2140.0,0.8370161,10700.0,0.07763245,-19.59999
107,-14.825249,0.2,0.2,0.07987425,0.20118222,2160.0,0.8370249,10800.0,0.0775428,-17.50805
108,-20.884212,0.35,0.1,0.08012607,0.20116235,2180.0,0.83694977,10900.0,0.07748058,-16.068432
109,-21.187374,0.24,0.25,0.08034361,0.20115171,2200.0,0.8368809,11000.0,0.077430665,-17.133228
110,-14.712059,0.23,0.25,0.080649726,0.20113854,2220.0,0.8368668,11100.0,0.0774304,-17.376913
111,-18.569937,0.23,0.1,0.08092952,0.20114939,2240.0,0.8367862,11200.0,0.07747367,-18.105206
112,-14.2217655,0.3,0.25,0.08107069,0.20112208,2260.0,0.83672744,11300.0,0.07739798,-14.821222
113,-14.331265,0.31,0.25,0.081094615,0.20114374,2280.0,0.8366836,11400.0,0.07738513,-14.641827
114,-19.971668,0.34,0.2,0.08127905,0.20112495,2300.0,0.8366224,11500.0,0.07736417,-13.65325
115,-13.357617,0.29,0.4,0.08152854,0.20114402,2320.0,0.83660156,11600.0,0.0773633,-15.1775465
116,-12.676962,0.22,0.5,0.08154371,0.20113517,2340.0,0.83650297,11700.0,0.07729611,-16.694435
117,-13.926584,0.4,0.35,0.08172969,0.20109697,2360.0,0.836406,11800.0,0.077216126,-13.5395775
118,-13.340639,0.35,0.4,0.08184607,0.20109199,2380.0,0.8362972,11900.0,0.07714536,-15.317941
119,-16.050137,0.39,0.2,0.081961654,0.20109601,2400.0,0.8362505,12000.0,0.07706418,-13.304595
120,-16.584856,0.41,0.25,0.082082614,0.20111403,2420.0,0.83620626,12100.0,0.07697181,-14.21736
121,-10.783957,0.42,0.5,0.082180776,0.20109537,2440.0,0.83615273,12200.0,0.076874964,-14.403592
122,-12.674704,0.45,0.3,0.082400925,0.2011273,2460.0,0.8361514,12300.0,0.07682791,-12.418458
123,-18.326454,0.28,0.15,0.0826866,0.20109633,2480.0,0.836119,12400.0,0.07685367,-14.96136
124,-11.90543,0.35,0.55,0.08286307,0.20107678,2500.0,0.8360885,12500.0,0.07678465,-15.20047
125,-11.980506,0.41,0.4,0.083061665,0.2010567,2520.0,0.83597875,12600.0,0.07671663,-15.103626
126,-13.861593,0.46,0.4,0.08330165,0.20104185,2540.0,0.83593327,12700.0,0.07663941,-13.201903
127,-10.292308,0.46,0.5,0.08336555,0.20100595,2560.0,0.83587235,12800.0,0.076565735,-13.220608
128,-9.140979,0.49,0.6,0.08352433,0.20096868,2580.0,0.8358157,12900.0,0.076487675,-11.83606
129,-8.521895,0.52,0.5,0.083776385,0.20094438,2600.0,0.8357727,13000.0,0.07646504,-10.682838
130,-10.736567,0.55,0.55,0.08384337,0.2009362,2620.0,0.83574504,13100.0,0.07640305,-9.7862625
131,-8.318956,0.45,0.45,0.083941296,0.20089993,2640.0,0.8356521,13200.0,0.07636924,-13.06756
132,-7.4293075,0.41,0.65,0.08432149,0.20087999,2660.0,0.83561605,13300.0,0.076393224,-11.643764
133,-11.058638,0.5,0.35,0.084566906,0.20086348,2680.0,0.83559924,13400.0,0.07632797,-10.258045
134,-7.323986,0.48,0.65,0.08483455,0.20085745,2700.0,0.83552885,13500.0,0.07630347,-10.19786
135,-5.269939,0.57,0.6,0.0852271,0.20078768,2720.0,0.8354886,13600.0,0.07642729,-10.036039
136,-8.475759,0.49,0.55,0.08554953,0.20078658,2740.0,0.8354764,13700.0,0.07645216,-10.168088
137,-7.0611534,0.47,0.6,0.085914776,0.200787,2760.0,0.8354544,13800.0,0.076418236,-10.5367
138,-8.379049,0.56,0.65,0.0861412,0.20076852,2780.0,0.83543754,13900.0,0.076338746,-9.013681
139,-8.653996,0.65,0.7,0.086362146,0.20074368,2800.0,0.83542734,14000.0,0.076263726,-8.584912
140,-7.532186,0.63,0.7,0.08661618,0.20074409,2820.0,0.83541155,14100.0,0.076239295,-8.61904
141,-5.0752497,0.61,0.7,0.08689702,0.20075282,2840.0,0.8353789,14200.0,0.07629988,-8.65677
142,-7.8543253,0.66,0.65,0.08715621,0.20076038,2860.0,0.8353558,14300.0,0.07626292,-8.470634
143,-8.343548,0.68,0.7,0.087425545,0.2007357,2880.0,0.8353215,14400.0,0.0761796,-7.807735
144,-7.6532073,0.72,0.65,0.08764148,0.20066702,2900.0,0.8352615,14500.0,0.076183714,-7.6106615
145,-8.66586,0.7,0.55,0.08787493,0.20062196,2920.0,0.835217,14600.0,0.07614107,-8.525106
146,-8.492662,0.71,0.55,0.08802789,0.20061071,2940.0,0.8352215,14700.0,0.07607678,-6.756195
