stats_g/mean,test/success_rate,stats_o/std,epoch,stats_g/std,stats_o/mean,train/mean_Q,train/success_rate,test/episode,train/episode,test/mean_Q
0.8387854,1.0,0.107272215,141,0.07436748,0.20209308,-1.870746,0.96,2840.0,14200.0,-0.9137756
0.8387859,1.0,0.107227966,142,0.074301355,0.20210552,-1.958842,0.95,2860.0,14300.0,-1.4297303
0.8387723,0.95,0.107248984,143,0.074244864,0.20207804,-2.161304,0.96,2880.0,14400.0,-1.1119856
0.83874863,1.0,0.10721858,144,0.07416474,0.20207147,-2.1455812,0.96,2900.0,14500.0,-1.0423367
0.8387382,0.95,0.10717276,145,0.07410448,0.20205456,-1.9551007,0.92,2920.0,14600.0,-2.9091773
0.8387435,1.0,0.107215315,146,0.07405378,0.20207873,-2.0776713,0.98,2940.0,14700.0,-1.131342
0.8387838,1.0,0.10721019,147,0.07405343,0.20208354,-2.3671505,0.94,2960.0,14800.0,-1.3746471
0.8387759,1.0,0.10730658,148,0.074040346,0.20209795,-2.3025568,0.92,2980.0,14900.0,-1.2680541
0.83877,1.0,0.10724971,149,0.07402723,0.20208828,-2.2394211,0.92,3000.0,15000.0,-1.1377792
0.8387647,1.0,0.10724473,150,0.07395504,0.20208141,-1.9881331,0.95,3020.0,15100.0,-1.0575688
0.8388199,1.0,0.10734967,151,0.07403901,0.20208336,-2.5744324,0.94,3040.0,15200.0,-0.9336529
0.83881015,1.0,0.10740315,152,0.07407584,0.20207725,-2.1419303,0.92,3060.0,15300.0,-1.0231626
0.83878154,0.95,0.107459396,153,0.074107684,0.20204741,-2.5944347,0.95,3080.0,15400.0,-2.1276038
0.83877116,1.0,0.10748839,154,0.074077725,0.20203058,-2.0007694,0.99,3100.0,15500.0,-1.1493129
0.8388037,1.0,0.10753533,155,0.07404118,0.20204113,-2.2130048,0.97,3120.0,15600.0,-1.133641
0.8387799,1.0,0.10758695,156,0.07399407,0.20207407,-2.0832338,0.96,3140.0,15700.0,-1.2627692
0.83879185,1.0,0.107581064,157,0.07392851,0.20208775,-2.1754005,0.94,3160.0,15800.0,-1.0757978
0.838768,1.0,0.10763472,158,0.07393519,0.20207997,-2.337711,0.95,3180.0,15900.0,-1.1670364
0.83875185,1.0,0.10764322,159,0.07388052,0.20207107,-2.2089381,0.94,3200.0,16000.0,-1.3455446
0.8387513,1.0,0.10764861,160,0.07388042,0.20208946,-2.1705675,0.95,3220.0,16100.0,-1.109052
0.83875555,1.0,0.107735604,161,0.0738359,0.20210832,-2.171874,0.89,3240.0,16200.0,-0.8920275
0.8387483,0.95,0.10769357,162,0.07376172,0.20212603,-1.7569809,0.97,3260.0,16300.0,-1.1833423
0.8387255,1.0,0.10773147,163,0.073687024,0.202125,-1.8903117,0.96,3280.0,16400.0,-0.9645777
0.8387372,1.0,0.10770005,164,0.07363105,0.20211506,-1.8458672,0.96,3300.0,16500.0,-0.90644073
0.8387529,1.0,0.107752755,165,0.07358968,0.20212464,-1.9242673,0.96,3320.0,16600.0,-1.1460475
0.83873606,1.0,0.107798435,166,0.07352915,0.20214185,-2.341293,0.93,3340.0,16700.0,-1.2688259
0.8387911,1.0,0.10783464,167,0.07348215,0.20217843,-2.159113,0.96,3360.0,16800.0,-1.2940097
0.83879,1.0,0.10788145,168,0.07344247,0.20218879,-2.2545574,0.95,3380.0,16900.0,-1.1769087
0.83878464,1.0,0.10791645,169,0.07342763,0.2022017,-2.2534015,0.92,3400.0,17000.0,-1.1947776
0.8387618,1.0,0.107941106,170,0.07340137,0.20221798,-2.053205,0.97,3420.0,17100.0,-1.1632297
0.8388011,1.0,0.1079671,171,0.07334586,0.20222148,-2.1186776,0.93,3440.0,17200.0,-1.2438713
0.83879423,1.0,0.108054705,172,0.073340856,0.20225635,-2.5393293,0.92,3460.0,17300.0,-1.033732
0.8387975,1.0,0.108009614,173,0.073294915,0.20225613,-2.1873672,0.98,3480.0,17400.0,-1.1268086
0.83879995,1.0,0.10797314,174,0.073264904,0.20229436,-2.0699291,0.9,3500.0,17500.0,-1.3077097
0.8387864,1.0,0.10797589,175,0.0732085,0.20231026,-2.2812493,0.98,3520.0,17600.0,-1.0124165
0.8388459,1.0,0.10796516,176,0.07315489,0.202315,-2.030425,0.95,3540.0,17700.0,-1.0593978
0.8388397,1.0,0.10799458,177,0.07311329,0.20231369,-2.1424394,0.96,3560.0,17800.0,-0.90907747
0.8388534,1.0,0.108043,178,0.073132806,0.20236467,-2.113473,0.93,3580.0,17900.0,-1.5829036
0.8388238,1.0,0.10803951,179,0.07310576,0.20236658,-2.1548874,0.95,3600.0,18000.0,-1.1904978
0.8388004,1.0,0.10805754,180,0.07305709,0.20238811,-1.9563816,0.93,3620.0,18100.0,-0.9016423
0.83879954,1.0,0.10809619,181,0.07304342,0.20239821,-2.1229968,0.92,3640.0,18200.0,-1.0666746
0.8387659,0.95,0.108135805,182,0.072982945,0.20240505,-2.2705345,0.9,3660.0,18300.0,-2.23223
0.83881974,1.0,0.108212136,183,0.07301051,0.20244968,-2.3071058,0.9,3680.0,18400.0,-0.9704973
0.838792,1.0,0.108238384,184,0.072954975,0.20244855,-2.200892,0.96,3700.0,18500.0,-1.1245376
0.83880234,1.0,0.10827729,185,0.072900854,0.20245573,-2.025848,0.94,3720.0,18600.0,-1.2158133
0.83875257,1.0,0.108311564,186,0.07289756,0.20243542,-2.1569517,0.94,3740.0,18700.0,-0.9986843
0.83878416,1.0,0.108296216,187,0.07289013,0.20244054,-2.2460456,0.93,3760.0,18800.0,-1.4151709
0.8387955,1.0,0.108229406,188,0.072839566,0.20243871,-1.9779809,0.94,3780.0,18900.0,-1.2750299
0.8387661,1.0,0.10826481,189,0.072801374,0.20244229,-1.981157,0.97,3800.0,19000.0,-1.165981
0.83876926,1.0,0.108302705,190,0.07279775,0.20245281,-2.3247204,0.93,3820.0,19100.0,-0.9565647
0.83873695,1.0,0.10822871,191,0.07276858,0.20246807,-1.7616005,0.95,3840.0,19200.0,-1.1432531
0.8387385,1.0,0.10836497,192,0.07272212,0.20248032,-1.9458377,0.98,3860.0,19300.0,-1.278784
0.8387061,1.0,0.10841019,193,0.072683685,0.20249824,-1.7997786,0.97,3880.0,19400.0,-0.9123834
0.83868164,1.0,0.108418815,194,0.07262798,0.2025077,-1.956046,0.94,3900.0,19500.0,-1.1553864
0.8386795,1.0,0.10839732,195,0.07259393,0.20250246,-1.928618,0.93,3920.0,19600.0,-1.042242
0.8386509,0.95,0.10839441,196,0.07254628,0.20248234,-1.8550922,0.94,3940.0,19700.0,-1.340855
0.83863276,1.0,0.10841384,197,0.07250408,0.20248167,-2.08597,0.94,3960.0,19800.0,-0.9877812
0.83861876,1.0,0.10839191,198,0.072466694,0.20251122,-1.8736109,0.95,3980.0,19900.0,-1.0058489
0.8386237,1.0,0.10837428,199,0.07241755,0.20249885,-1.938288,0.97,4000.0,20000.0,-1.1384437
