test/success_rate,stats_g/mean,test/mean_Q,train/success_rate,train/episode,train/mean_Q,test/episode,epoch,stats_g/std,stats_o/mean,stats_o/std
0.3,0.7953563,-16.832088,0.15,9100.0,-24.27376,1820.0,90,0.15480314,0.18870011,0.09456769
0.55,0.7954855,-14.408869,0.17,9200.0,-23.411055,1840.0,91,0.1546251,0.18873799,0.09440227
0.45,0.79566056,-15.950361,0.12,9300.0,-24.769136,1860.0,92,0.15467806,0.18882923,0.09447047
0.3,0.79579145,-19.25188,0.12,9400.0,-23.61717,1880.0,93,0.1545928,0.18889572,0.09453841
0.2,0.795988,-19.642818,0.13,9500.0,-24.41116,1900.0,94,0.15450701,0.18893985,0.094485804
0.25,0.79604053,-19.638577,0.16,9600.0,-25.339466,1920.0,95,0.15447025,0.18893282,0.09449664
0.4,0.7961436,-15.949855,0.12,9700.0,-24.816929,1940.0,96,0.15438332,0.18900642,0.09450871
0.5,0.7961518,-13.532518,0.15,9800.0,-25.406418,1960.0,97,0.15433683,0.18901628,0.09437991
0.4,0.79623693,-19.403177,0.19,9900.0,-24.925327,1980.0,98,0.15424815,0.18903832,0.094373964
0.25,0.7963564,-18.509455,0.16,10000.0,-26.617273,2000.0,99,0.15424532,0.18905123,0.09453115
0.45,0.79634064,-17.82567,0.2,10100.0,-25.276087,2020.0,100,0.15426292,0.18909203,0.09447228
0.3,0.7964662,-20.693693,0.16,10200.0,-25.414427,2040.0,101,0.1542749,0.1891368,0.094354495
0.25,0.796525,-19.350681,0.17,10300.0,-25.723251,2060.0,102,0.15422072,0.18918373,0.09434468
0.4,0.79673415,-18.319302,0.14,10400.0,-24.372429,2080.0,103,0.15398793,0.18923244,0.094221294
0.35,0.79674166,-18.531305,0.12,10500.0,-26.53427,2100.0,104,0.15389194,0.18921834,0.09431245
0.5,0.79689574,-15.260012,0.16,10600.0,-26.135353,2120.0,105,0.15380147,0.18930496,0.09424227
0.3,0.7970899,-17.70783,0.15,10700.0,-27.749994,2140.0,106,0.15374586,0.18933968,0.094219215
0.45,0.7972191,-16.209658,0.14,10800.0,-28.99249,2160.0,107,0.15377922,0.18940355,0.09416047
0.6,0.7974126,-15.155077,0.17,10900.0,-25.945005,2180.0,108,0.15368964,0.18946245,0.0940609
0.25,0.7975428,-18.11236,0.15,11000.0,-27.414331,2200.0,109,0.15371646,0.18948875,0.0942123
0.45,0.79749775,-17.232864,0.14,11100.0,-26.114996,2220.0,110,0.1536359,0.18946102,0.09416649
0.35,0.79766184,-16.836916,0.13,11200.0,-26.41918,2240.0,111,0.15366064,0.1895126,0.09427523
0.5,0.7976195,-13.204753,0.17,11300.0,-25.051565,2260.0,112,0.1536775,0.18947689,0.094374135
0.3,0.7976375,-15.704355,0.14,11400.0,-25.417734,2280.0,113,0.15373112,0.18945444,0.094453305
0.5,0.797654,-14.14189,0.19,11500.0,-23.996628,2300.0,114,0.15370117,0.18947838,0.09445856
0.3,0.7977832,-16.458326,0.1,11600.0,-23.870825,2320.0,115,0.15357193,0.18949398,0.09438817
0.4,0.7976964,-13.926033,0.13,11700.0,-23.478628,2340.0,116,0.15363707,0.18947423,0.094476655
0.3,0.79773694,-15.578299,0.19,11800.0,-25.152023,2360.0,117,0.15367027,0.1894784,0.09450331
0.6,0.7977247,-13.0138035,0.12,11900.0,-26.383625,2380.0,118,0.15369599,0.18946731,0.09451313
0.25,0.79783136,-15.936346,0.21,12000.0,-25.446806,2400.0,119,0.15362842,0.1894735,0.09450105
0.3,0.79796094,-15.910469,0.14,12100.0,-25.492329,2420.0,120,0.15360457,0.18951002,0.09449014
0.7,0.798075,-11.212018,0.16,12200.0,-24.549665,2440.0,121,0.15353462,0.18952183,0.094480716
0.2,0.79813486,-17.906752,0.15,12300.0,-25.583494,2460.0,122,0.15346998,0.18953219,0.09444449
0.2,0.7981978,-18.125406,0.14,12400.0,-26.361526,2480.0,123,0.15361543,0.18952522,0.094501436
0.55,0.7983499,-14.828603,0.18,12500.0,-26.275085,2500.0,124,0.15364207,0.1895588,0.0945547
0.5,0.79835993,-15.716014,0.11,12600.0,-26.646666,2520.0,125,0.15366665,0.18955395,0.09461559
0.4,0.79828125,-17.061844,0.12,12700.0,-25.723372,2540.0,126,0.15385228,0.18951668,0.09469795
0.3,0.79836315,-16.972376,0.17,12800.0,-26.303879,2560.0,127,0.15381701,0.18955028,0.09469968
0.5,0.7983849,-13.560471,0.21,12900.0,-25.529148,2580.0,128,0.15377697,0.18958618,0.09469056
0.3,0.79836386,-15.70278,0.2,13000.0,-24.080137,2600.0,129,0.15384059,0.18959223,0.09469243
0.35,0.7984052,-17.323988,0.17,13100.0,-25.187136,2620.0,130,0.15385605,0.18961042,0.09473098
0.35,0.79843897,-18.160765,0.1,13200.0,-27.406898,2640.0,131,0.1539319,0.1896208,0.09486538
0.4,0.7983989,-14.313108,0.14,13300.0,-26.255283,2660.0,132,0.15408497,0.18961681,0.09495826
0.35,0.79848546,-20.274147,0.2,13400.0,-25.32516,2680.0,133,0.15398797,0.18963319,0.09495125
0.6,0.79834723,-13.6794,0.21,13500.0,-23.382912,2700.0,134,0.15411894,0.18958183,0.09503722
0.55,0.7984951,-12.136793,0.16,13600.0,-23.965113,2720.0,135,0.15403469,0.18961664,0.09506764
0.55,0.7985247,-12.251917,0.12,13700.0,-24.33488,2740.0,136,0.15412594,0.1896064,0.09526808
0.3,0.7985475,-15.0655575,0.21,13800.0,-24.168617,2760.0,137,0.1541471,0.18961039,0.095432974
0.55,0.79855007,-13.80298,0.18,13900.0,-23.88792,2780.0,138,0.15421252,0.18959084,0.09554511
0.5,0.79861563,-11.513592,0.19,14000.0,-22.569788,2800.0,139,0.15422109,0.1896028,0.09567776
0.5,0.79879206,-10.976575,0.18,14100.0,-25.384777,2820.0,140,0.15423913,0.18960732,0.09575051
0.5,0.798841,-12.369997,0.14,14200.0,-25.189573,2840.0,141,0.1543437,0.18963182,0.095813334
0.35,0.798899,-15.850649,0.12,14300.0,-24.402372,2860.0,142,0.15440276,0.18964298,0.095922194
0.35,0.7989556,-16.797182,0.16,14400.0,-23.80786,2880.0,143,0.1544082,0.18966466,0.09600983
0.35,0.79905796,-14.165344,0.14,14500.0,-24.46983,2900.0,144,0.15438785,0.18969864,0.09600831
0.4,0.7990997,-15.550281,0.16,14600.0,-23.479841,2920.0,145,0.15442215,0.18971574,0.09606253
0.55,0.79921526,-13.610596,0.19,14700.0,-24.420637,2940.0,146,0.15451367,0.18975604,0.09613262
0.65,0.7993703,-11.952316,0.12,14800.0,-25.425264,2960.0,147,0.15452115,0.18979077,0.09613559
0.55,0.79947966,-13.806501,0.17,14900.0,-23.765186,2980.0,148,0.15444785,0.18982445,0.09611538
0.55,0.7995654,-12.387736,0.11,15000.0,-26.451832,3000.0,149,0.15438466,0.18987235,0.096085526
