train/success_rate,epoch,test/mean_Q,stats_o/mean,test/success_rate,stats_g/std,stats_g/mean,train/mean_Q,test/episode,stats_o/std,train/episode
0.94,113,-1.7267144,0.2025325,0.95,0.087131225,0.83847886,-2.8212354,2280.0,0.101660214,11400.0
0.92,114,-1.6523216,0.20255758,1.0,0.08706208,0.83849454,-2.7375703,2300.0,0.101677425,11500.0
0.94,115,-1.6992944,0.20257822,1.0,0.086951084,0.83852285,-3.0204995,2320.0,0.101678126,11600.0
0.94,116,-1.1252389,0.20261034,1.0,0.08689303,0.83852935,-3.1708908,2340.0,0.1017265,11700.0
0.89,117,-1.2783582,0.20263073,1.0,0.086801074,0.8384981,-2.7061527,2360.0,0.101698875,11800.0
0.94,118,-1.4720271,0.20261677,1.0,0.08673999,0.83848906,-3.3197439,2380.0,0.10178082,11900.0
0.94,119,-1.819293,0.20264946,0.95,0.08666942,0.8384802,-2.9264126,2400.0,0.10188485,12000.0
0.97,120,-1.7397089,0.2026141,1.0,0.08655273,0.8384797,-2.7091808,2420.0,0.10180707,12100.0
0.94,121,-1.1929452,0.20259483,1.0,0.08648327,0.8384907,-3.3547044,2440.0,0.101902,12200.0
0.95,122,-1.304229,0.2026086,1.0,0.08641082,0.83850616,-2.4454865,2460.0,0.101985306,12300.0
0.92,123,-1.7696197,0.2026607,1.0,0.0863237,0.83854985,-2.7409568,2480.0,0.10201337,12400.0
0.92,124,-1.3004608,0.20263597,1.0,0.08627341,0.8385501,-3.3536563,2500.0,0.10213542,12500.0
0.95,125,-1.4964197,0.20260714,0.95,0.08615181,0.8385325,-2.9778597,2520.0,0.10209439,12600.0
0.94,126,-1.6363852,0.20265064,1.0,0.08605233,0.83854777,-2.6694593,2540.0,0.10207555,12700.0
0.92,127,-2.0207891,0.20265268,0.95,0.08595884,0.8385289,-2.830248,2560.0,0.102038056,12800.0
0.93,128,-1.5513995,0.20269136,1.0,0.08586878,0.8385337,-2.623424,2580.0,0.10203964,12900.0
0.96,129,-1.2944709,0.20270786,1.0,0.08581394,0.8385124,-2.7790313,2600.0,0.102177285,13000.0
0.93,130,-1.4911724,0.20272116,1.0,0.08576784,0.8385389,-2.9175472,2620.0,0.10241881,13100.0
