epoch,test/success_rate,stats_o/std,train/success_rate,stats_o/mean,stats_g/mean,stats_g/std,train/mean_Q,train/episode,test/mean_Q,test/episode
112,0.6,0.11726441,0.49,0.2038418,0.8413343,0.10386193,-13.014239,11300.0,-10.528212,2260.0
113,0.55,0.11748209,0.49,0.20384112,0.84133834,0.10389703,-13.265812,11400.0,-12.693217,2280.0
114,0.4,0.1176573,0.4,0.20385772,0.8413115,0.10400975,-14.36891,11500.0,-17.290089,2300.0
115,0.5,0.11777533,0.52,0.20393874,0.8413966,0.103873275,-12.304883,11600.0,-14.196607,2320.0
116,0.45,0.11780245,0.46,0.20397359,0.8413086,0.10398793,-13.859357,11700.0,-15.182335,2340.0
117,0.45,0.11794755,0.45,0.20401178,0.8412799,0.10426501,-14.200542,11800.0,-15.717409,2360.0
118,0.6,0.118263245,0.39,0.20399576,0.84127086,0.10442519,-14.628327,11900.0,-13.509127,2380.0
119,0.65,0.118334144,0.44,0.20401272,0.84133387,0.104464404,-15.161634,12000.0,-10.804487,2400.0
120,0.6,0.11832426,0.39,0.20400195,0.8413169,0.104483925,-16.865412,12100.0,-12.445389,2420.0
121,0.75,0.11838484,0.33,0.20402656,0.84136635,0.10447947,-17.654106,12200.0,-5.9237666,2440.0
122,0.7,0.11835837,0.4,0.20403849,0.8413772,0.10435831,-14.49956,12300.0,-7.8076644,2460.0
123,0.75,0.11836917,0.48,0.20406714,0.84143704,0.104241736,-13.69748,12400.0,-6.7684946,2480.0
124,0.65,0.11836048,0.38,0.2040505,0.84149694,0.10414625,-15.819267,12500.0,-14.513522,2500.0
125,0.6,0.11843355,0.46,0.20401533,0.8415406,0.104123265,-14.246338,12600.0,-15.230057,2520.0
126,0.55,0.11845589,0.48,0.20401378,0.84155965,0.10423695,-15.781025,12700.0,-12.000433,2540.0
127,0.7,0.11853974,0.4,0.20405851,0.84162664,0.10422359,-15.709659,12800.0,-10.107707,2560.0
128,0.55,0.11860357,0.41,0.20405917,0.84160286,0.10440654,-15.726034,12900.0,-14.448439,2580.0
129,0.7,0.118589684,0.5,0.20411196,0.84164023,0.10439841,-14.174883,13000.0,-10.03766,2600.0
130,0.65,0.118602246,0.48,0.20415144,0.8416636,0.104395814,-13.825092,13100.0,-10.056051,2620.0
131,0.75,0.11867018,0.46,0.20414501,0.84165287,0.10439553,-13.651559,13200.0,-8.188377,2640.0
132,0.6,0.11874475,0.48,0.20415966,0.84171456,0.104361095,-13.33823,13300.0,-13.251819,2660.0
133,0.6,0.118936844,0.45,0.2042325,0.84171885,0.1043969,-14.471378,13400.0,-12.044701,2680.0
134,0.5,0.119021855,0.51,0.20427361,0.841824,0.104501404,-13.631344,13500.0,-13.379247,2700.0
135,0.55,0.11900938,0.55,0.2042878,0.8418593,0.10452076,-12.249092,13600.0,-10.896811,2720.0
136,0.6,0.11905874,0.47,0.20430696,0.8418388,0.10451341,-12.587591,13700.0,-8.843729,2740.0
137,0.5,0.11914308,0.51,0.20430592,0.84186536,0.10445253,-10.927543,13800.0,-11.980663,2760.0
138,0.75,0.11915312,0.51,0.20429747,0.84193707,0.10443387,-12.5999155,13900.0,-5.057093,2780.0
139,0.85,0.119316824,0.56,0.20431861,0.8419755,0.10456676,-12.598833,14000.0,-2.6846137,2800.0
140,0.8,0.119559966,0.48,0.20434923,0.84201264,0.104712866,-12.071719,14100.0,-5.2170086,2820.0
141,0.65,0.119758636,0.46,0.20435032,0.8420122,0.105033435,-13.985699,14200.0,-8.975392,2840.0
142,0.35,0.119994074,0.46,0.20434164,0.84204787,0.1053041,-11.872564,14300.0,-13.266629,2860.0
143,0.65,0.12008065,0.48,0.20436731,0.84203404,0.105604954,-11.255964,14400.0,-11.225075,2880.0
144,0.75,0.12028365,0.47,0.20438507,0.842032,0.10603274,-12.27707,14500.0,-8.216051,2900.0
145,0.7,0.12050727,0.48,0.20438546,0.8420302,0.10653937,-13.716306,14600.0,-5.7379923,2920.0
146,0.45,0.1204849,0.64,0.2043903,0.84206176,0.10672051,-9.015598,14700.0,-15.719577,2940.0
147,0.5,0.120534174,0.51,0.2043913,0.8421467,0.10686291,-10.4633,14800.0,-11.091539,2960.0
148,0.6,0.12042366,0.5,0.204406,0.8421543,0.10688638,-10.676922,14900.0,-9.226904,2980.0
149,0.7,0.12048139,0.51,0.20441076,0.84213215,0.106867075,-8.114921,15000.0,-6.7400985,3000.0
150,0.75,0.120586164,0.42,0.20445552,0.84220284,0.1069946,-12.343337,15100.0,-6.8083344,3020.0
151,0.75,0.12058098,0.44,0.2044668,0.84224033,0.10698468,-9.281641,15200.0,-6.05529,3040.0
152,0.75,0.120593205,0.46,0.20449224,0.8422678,0.1069962,-9.544254,15300.0,-6.616062,3060.0
153,0.5,0.12064297,0.4,0.2044925,0.8423068,0.106935315,-9.995335,15400.0,-9.384597,3080.0
154,0.8,0.120674714,0.47,0.20449078,0.84239626,0.10700611,-9.744732,15500.0,-6.838713,3100.0
155,0.75,0.12076208,0.49,0.20453165,0.84241486,0.10715857,-10.341566,15600.0,-2.7543588,3120.0
156,0.7,0.12081374,0.47,0.20458193,0.84249926,0.10717139,-9.236947,15700.0,-7.474037,3140.0
157,0.8,0.120940834,0.53,0.20457493,0.8425445,0.10733432,-9.730486,15800.0,-3.5286095,3160.0
158,0.65,0.121166185,0.35,0.20460434,0.8425436,0.10769155,-11.781162,15900.0,-7.954795,3180.0
159,0.45,0.1212544,0.45,0.20463598,0.84255123,0.10778156,-10.060264,16000.0,-6.7261786,3200.0
160,0.7,0.12136613,0.45,0.20464395,0.84255457,0.107989274,-9.892561,16100.0,-4.892778,3220.0
161,0.85,0.12140302,0.45,0.20465395,0.8426061,0.10798967,-8.3173065,16200.0,-3.056888,3240.0
162,0.65,0.121496916,0.5,0.20465903,0.84270316,0.108014524,-7.508276,16300.0,-2.7809663,3260.0
163,0.85,0.121532634,0.53,0.20468342,0.8427761,0.10805146,-7.3161473,16400.0,-3.3780377,3280.0
164,0.65,0.121574536,0.57,0.2047133,0.8428392,0.10803483,-6.307004,16500.0,-3.631057,3300.0
165,0.8,0.12167624,0.52,0.20473558,0.84289473,0.10820774,-9.343757,16600.0,-2.0854545,3320.0
166,0.7,0.12179858,0.47,0.2047729,0.8429535,0.10828348,-8.087351,16700.0,-3.2991471,3340.0
167,0.7,0.121893264,0.46,0.20482151,0.8430554,0.108433984,-8.269618,16800.0,-2.9084623,3360.0
168,0.9,0.12197273,0.55,0.20485961,0.84313136,0.10858694,-7.475883,16900.0,-1.3470987,3380.0
169,0.6,0.12203934,0.51,0.20491756,0.84324485,0.108657695,-7.5324078,17000.0,-4.9478693,3400.0
170,0.55,0.122066736,0.4,0.2049304,0.8433983,0.10879657,-7.2709017,17100.0,-4.795887,3420.0
171,0.85,0.1220207,0.53,0.20491938,0.8434837,0.108812235,-5.843485,17200.0,-3.7817745,3440.0
172,0.85,0.12198433,0.48,0.20488645,0.8435275,0.1088405,-6.03043,17300.0,-2.6894276,3460.0
173,0.95,0.12199135,0.47,0.20489992,0.843607,0.10894853,-6.9539576,17400.0,-1.4408045,3480.0
174,0.85,0.12197773,0.53,0.20491427,0.84365886,0.10890433,-5.1537876,17500.0,-2.1829934,3500.0
175,0.9,0.12190876,0.5,0.20491843,0.843741,0.10886266,-4.894017,17600.0,-1.762689,3520.0
176,0.9,0.12196836,0.46,0.20492056,0.8438092,0.10890826,-5.8255076,17700.0,-1.1246812,3540.0
177,0.9,0.12191296,0.51,0.20494032,0.8438745,0.10893794,-5.8064466,17800.0,-1.1010454,3560.0
178,0.85,0.12194432,0.58,0.20496888,0.84393424,0.10892564,-5.391484,17900.0,-2.228288,3580.0
179,0.85,0.12195485,0.6,0.20494449,0.8440347,0.10897148,-5.4255457,18000.0,-2.2471616,3600.0
180,0.9,0.121941864,0.46,0.20496356,0.8440926,0.10892365,-5.5425715,18100.0,-2.216344,3620.0
181,0.8,0.12190118,0.49,0.20501254,0.8441755,0.10891553,-5.226234,18200.0,-2.4355807,3640.0
182,0.9,0.12184596,0.61,0.2050278,0.8442352,0.10888366,-4.4773903,18300.0,-1.6881399,3660.0
183,0.8,0.12185734,0.6,0.20503114,0.8442464,0.10885771,-5.1629186,18400.0,-2.552332,3680.0
184,0.75,0.1218755,0.52,0.20500174,0.8442456,0.10878688,-5.0569234,18500.0,-2.609373,3700.0
185,0.85,0.12185737,0.57,0.20502052,0.84425926,0.10880962,-5.8895674,18600.0,-2.0827932,3720.0
186,0.9,0.12185288,0.5,0.2050386,0.8443356,0.10882318,-5.502919,18700.0,-2.0217335,3740.0
187,0.95,0.12179559,0.6,0.20503779,0.84433323,0.10884061,-5.1000977,18800.0,-1.9113356,3760.0
188,0.95,0.121832564,0.5,0.20506921,0.8443506,0.10891191,-6.253252,18900.0,-2.2096903,3780.0
189,1.0,0.12186884,0.47,0.20508257,0.8443944,0.10895494,-5.7210436,19000.0,-1.3696988,3800.0
190,1.0,0.12186282,0.57,0.20507807,0.844429,0.1089342,-4.9489408,19100.0,-1.8951601,3820.0
191,1.0,0.121824205,0.53,0.20507908,0.8444848,0.10890842,-5.10124,19200.0,-1.2592062,3840.0
192,1.0,0.1218411,0.53,0.20506914,0.8445447,0.10895055,-5.5510716,19300.0,-1.0200347,3860.0
193,0.9,0.12186659,0.56,0.20505287,0.84455997,0.10898485,-5.683966,19400.0,-2.000132,3880.0
194,1.0,0.1218011,0.54,0.20506926,0.84461737,0.10894469,-4.699209,19500.0,-1.5832264,3900.0
195,0.85,0.121718906,0.64,0.2050754,0.8446656,0.108900435,-4.589621,19600.0,-2.2564101,3920.0
196,0.95,0.12169484,0.52,0.20506802,0.84469104,0.108931534,-5.5588593,19700.0,-1.2192329,3940.0
197,1.0,0.12170212,0.49,0.20507792,0.84472924,0.10889262,-5.2102575,19800.0,-1.1094139,3960.0
198,0.8,0.121648036,0.62,0.20506696,0.8447754,0.10881462,-4.2963195,19900.0,-2.3456063,3980.0
199,1.0,0.121592596,0.55,0.20507635,0.84480476,0.108760305,-4.447875,20000.0,-1.1664329,4000.0
