test/episode,train/mean_Q,stats_o/mean,test/success_rate,stats_g/mean,epoch,train/episode,stats_o/std,stats_g/std,test/mean_Q,train/success_rate
3300.0,-2.2620614,0.20202166,0.95,0.8387762,164,16500.0,0.11554701,0.077011764,-1.1636885,0.92
3320.0,-2.0003564,0.20203334,1.0,0.83878535,165,16600.0,0.11564155,0.076959066,-0.94861734,0.97
3340.0,-2.0432076,0.20202376,1.0,0.8387742,166,16700.0,0.115739614,0.07687969,-1.1876034,0.98
3360.0,-2.535365,0.20203876,1.0,0.8388228,167,16800.0,0.11580576,0.076885425,-1.3361372,0.92
3380.0,-2.113129,0.2020543,0.95,0.83881193,168,16900.0,0.11579843,0.07683299,-2.7383592,0.97
3400.0,-2.2658541,0.20208807,1.0,0.8388068,169,17000.0,0.11583042,0.076784916,-1.0162623,0.95
3420.0,-2.4331083,0.2021131,1.0,0.83877563,170,17100.0,0.11585201,0.076752394,-1.1282246,0.94
3440.0,-2.5161736,0.20213497,1.0,0.83880836,171,17200.0,0.115895875,0.07677115,-1.2771356,0.96
3460.0,-2.6968288,0.20214501,0.95,0.8387849,172,17300.0,0.115964785,0.076772034,-2.1182323,0.96
3480.0,-3.3113139,0.20213646,1.0,0.83878475,173,17400.0,0.11608669,0.07688156,-0.8827747,0.9
3500.0,-2.5406218,0.20213163,1.0,0.83879447,174,17500.0,0.11614333,0.07688749,-1.0302573,0.93
3520.0,-2.2106478,0.20211576,1.0,0.83878636,175,17600.0,0.11614199,0.07682513,-0.9466027,0.95
3540.0,-2.5698812,0.20212759,1.0,0.83884794,176,17700.0,0.1162033,0.07684053,-0.98083603,0.94
3560.0,-2.0318792,0.20214254,1.0,0.83882475,177,17800.0,0.1162541,0.07681539,-1.0656488,0.96
3580.0,-2.2957473,0.2021167,1.0,0.83882767,178,17900.0,0.11623835,0.07680639,-1.4825494,0.94
3600.0,-2.0143697,0.20213123,1.0,0.83881813,179,18000.0,0.116212666,0.07674428,-1.1455486,0.95
3620.0,-2.3390565,0.20209919,1.0,0.8387962,180,18100.0,0.11629058,0.076721124,-0.99939746,0.95
3640.0,-2.048801,0.20209818,1.0,0.8387938,181,18200.0,0.11634593,0.07666327,-1.0777613,0.94
3660.0,-2.4069166,0.2021243,1.0,0.8387529,182,18300.0,0.11641138,0.076644085,-1.2951461,0.91
3680.0,-1.8858788,0.20214376,1.0,0.8388079,183,18400.0,0.11639271,0.076575674,-1.0477008,0.96
3700.0,-2.1565115,0.20214427,1.0,0.8387723,184,18500.0,0.11637935,0.07651461,-1.0164413,0.92
3720.0,-2.5989408,0.20214246,1.0,0.83878964,185,18600.0,0.11648373,0.07653902,-1.1439823,0.93
3740.0,-2.501738,0.20212805,1.0,0.83874506,186,18700.0,0.11656624,0.07653906,-0.97257674,0.9
3760.0,-2.2145116,0.20215459,1.0,0.8387955,187,18800.0,0.116581544,0.07653459,-1.2977358,0.94
3780.0,-1.9295038,0.20217758,1.0,0.8388002,188,18900.0,0.11656442,0.076466046,-1.3111259,0.95
3800.0,-2.4303634,0.20221138,1.0,0.83877164,189,19000.0,0.11662606,0.07647396,-1.0848495,0.94
3820.0,-2.0214434,0.20221235,1.0,0.8387707,190,19100.0,0.11661189,0.07644065,-0.9908883,0.95
3840.0,-2.2210827,0.20218104,1.0,0.83874434,191,19200.0,0.11666209,0.07643043,-1.0290867,0.94
3860.0,-2.24335,0.20218933,1.0,0.83874613,192,19300.0,0.1166808,0.07642174,-1.1121212,0.94
3880.0,-2.1418335,0.20219707,1.0,0.83872455,193,19400.0,0.11670837,0.076381244,-0.87622595,0.91
3900.0,-2.1969056,0.2021913,0.95,0.838706,194,19500.0,0.11676328,0.07631909,-1.5942843,0.93
3920.0,-1.9952615,0.20220108,1.0,0.8387026,195,19600.0,0.11676592,0.07627685,-1.4227654,0.94
3940.0,-2.051484,0.20217346,1.0,0.838679,196,19700.0,0.11679105,0.07626462,-0.9863822,0.97
3960.0,-2.4090393,0.20216745,1.0,0.8386624,197,19800.0,0.1168065,0.07623144,-1.0092854,0.9
3980.0,-1.9639235,0.2021728,0.95,0.83865374,198,19900.0,0.1168048,0.076222144,-2.5689182,0.96
4000.0,-2.0712914,0.20219728,1.0,0.8386609,199,20000.0,0.11680152,0.076195605,-1.2660244,0.95
