test/episode,train/mean_Q,epoch,stats_g/std,test/success_rate,test/mean_Q,stats_g/mean,train/episode,stats_o/mean,train/success_rate,stats_o/std
2220.0,-28.153149,110,0.16169669,0.4,-17.666126,0.80404776,11100.0,0.18999909,0.12,0.09419766
2240.0,-25.999062,111,0.16161571,0.45,-15.207525,0.80428296,11200.0,0.19003296,0.15,0.094201304
2260.0,-25.45645,112,0.16152017,0.45,-14.252708,0.80438083,11300.0,0.1900433,0.24,0.09414165
2280.0,-26.2454,113,0.161656,0.4,-15.911848,0.80433947,11400.0,0.18999945,0.14,0.09421842
2300.0,-25.35075,114,0.16153061,0.6,-14.180501,0.8043956,11500.0,0.19005081,0.16,0.09429845
2320.0,-23.874685,115,0.16138811,0.35,-16.12524,0.8045053,11600.0,0.19008107,0.15,0.094294555
2340.0,-26.38002,116,0.16157733,0.5,-14.362829,0.80446965,11700.0,0.19008215,0.07,0.09444087
2360.0,-24.441174,117,0.1616091,0.3,-18.305325,0.8044477,11800.0,0.19005743,0.09,0.09469886
2380.0,-20.894365,118,0.16160484,0.25,-12.533003,0.804241,11900.0,0.18999556,0.07,0.094807
2400.0,-14.045791,119,0.16153379,0.0,-13.082909,0.8038497,12000.0,0.18991111,0.02,0.09501405
2420.0,-13.889291,120,0.16156702,0.05,-11.512059,0.80334044,12100.0,0.18983008,0.01,0.09527881
2440.0,-14.00998,121,0.16154581,0.15,-11.458249,0.8028283,12200.0,0.18971227,0.01,0.095351726
2460.0,-14.629864,122,0.16151991,0.0,-13.448352,0.80227643,12300.0,0.18958564,0.0,0.095236175
2480.0,-17.557196,123,0.1616409,0.1,-15.362157,0.8017476,12400.0,0.18944736,0.01,0.09517431
2500.0,-18.44541,124,0.16171224,0.1,-16.591763,0.80132747,12500.0,0.18934353,0.04,0.09520213
2520.0,-18.498808,125,0.16173561,0.0,-17.036575,0.80088717,12600.0,0.18924262,0.04,0.09520909
2540.0,-20.409868,126,0.16184011,0.1,-17.26869,0.8004558,12700.0,0.18914534,0.02,0.09512605
2560.0,-21.748877,127,0.16196634,0.0,-19.678019,0.80012137,12800.0,0.1890639,0.04,0.09506855
2580.0,-23.338144,128,0.16202556,0.1,-17.000095,0.799802,12900.0,0.189009,0.02,0.09506655
2600.0,-25.360493,129,0.16225736,0.05,-18.906845,0.79943544,13000.0,0.18893352,0.04,0.095147155
2620.0,-25.43389,130,0.1623586,0.05,-19.058596,0.79931647,13100.0,0.18887347,0.13,0.095197715
2640.0,-24.698513,131,0.16247928,0.2,-18.676836,0.79915,13200.0,0.18883902,0.12,0.0952619
2660.0,-26.101934,132,0.16270685,0.2,-17.717327,0.7990795,13300.0,0.18879354,0.14,0.09543927
2680.0,-27.087767,133,0.16282244,0.45,-16.099329,0.79914516,13400.0,0.18880796,0.12,0.09567297
2700.0,-26.93599,134,0.1629374,0.35,-16.116398,0.79905057,13500.0,0.18878773,0.07,0.09572459
2720.0,-26.082354,135,0.16310714,0.2,-19.367533,0.7991502,13600.0,0.18880422,0.15,0.095807254
2740.0,-26.567478,136,0.16322748,0.4,-13.000951,0.7992282,13700.0,0.18879285,0.14,0.095876515
2760.0,-25.068016,137,0.16317026,0.35,-17.428988,0.7993381,13800.0,0.18880008,0.14,0.095948845
2780.0,-25.581848,138,0.16317739,0.45,-13.519139,0.7993603,13900.0,0.18878523,0.12,0.09610251
2800.0,-23.674023,139,0.16316968,0.6,-11.436261,0.79936105,14000.0,0.18880297,0.21,0.09620679
2820.0,-23.878733,140,0.16316225,0.45,-13.491135,0.79954594,14100.0,0.18881793,0.19,0.09627448
2840.0,-24.239098,141,0.16314705,0.5,-13.52016,0.7995536,14200.0,0.18884422,0.11,0.09629302
2860.0,-22.61119,142,0.1631539,0.55,-15.859403,0.79965305,14300.0,0.18885162,0.19,0.096352585
2880.0,-23.840986,143,0.16307068,0.4,-14.072925,0.7997365,14400.0,0.1888645,0.14,0.09641532
2900.0,-24.842659,144,0.16308464,0.45,-12.055455,0.7997888,14500.0,0.18888825,0.11,0.09646013
2920.0,-24.532722,145,0.16307472,0.45,-16.934696,0.7998155,14600.0,0.1889,0.08,0.0965132
2940.0,-24.644278,146,0.16320874,0.5,-14.889566,0.799866,14700.0,0.18889524,0.21,0.09655036
2960.0,-25.57069,147,0.16326101,0.55,-15.39342,0.8000178,14800.0,0.18894163,0.13,0.09665929
2980.0,-24.8573,148,0.16325335,0.35,-17.63881,0.8000811,14900.0,0.18892616,0.11,0.09665708
3000.0,-25.370237,149,0.1631958,0.3,-15.313761,0.8002028,15000.0,0.18897432,0.17,0.096863955
3020.0,-24.472149,150,0.16318558,0.45,-12.706856,0.80035776,15100.0,0.18900032,0.2,0.09691123
3040.0,-25.414783,151,0.1632661,0.35,-19.08367,0.8004194,15200.0,0.18903242,0.15,0.097020805
3060.0,-23.555735,152,0.16318661,0.45,-18.050964,0.8004849,15300.0,0.18902561,0.14,0.097071946
3080.0,-23.804941,153,0.16320758,0.55,-15.570337,0.8005149,15400.0,0.18903705,0.19,0.09712944
3100.0,-26.232388,154,0.163366,0.45,-13.3784485,0.80056936,15500.0,0.18905032,0.13,0.09734977
3120.0,-24.656363,155,0.16327317,0.55,-12.380383,0.8007346,15600.0,0.18908696,0.19,0.097455695
3140.0,-26.928347,156,0.16327724,0.35,-16.332516,0.80081433,15700.0,0.18911527,0.12,0.09749171
3160.0,-25.83638,157,0.16323803,0.45,-12.859924,0.80081725,15800.0,0.18913792,0.13,0.09752629
3180.0,-25.308056,158,0.16321005,0.35,-13.971642,0.8008879,15900.0,0.18914352,0.15,0.09755517
3200.0,-27.033169,159,0.1632091,0.4,-15.904594,0.8009973,16000.0,0.18915223,0.15,0.097662956
3220.0,-26.568123,160,0.16319248,0.45,-13.837563,0.80107373,16100.0,0.18918574,0.15,0.09766242
3240.0,-26.331057,161,0.16317017,0.6,-14.752195,0.80121094,16200.0,0.189212,0.18,0.09767665
3260.0,-24.282576,162,0.16308779,0.45,-13.256642,0.8013328,16300.0,0.18921927,0.15,0.09769097
3280.0,-23.321806,163,0.16310151,0.35,-16.283783,0.8013168,16400.0,0.1892372,0.22,0.09780201
3300.0,-25.36013,164,0.16315494,0.45,-18.110237,0.80127937,16500.0,0.18922819,0.17,0.09788229
3320.0,-21.523537,165,0.16321501,0.25,-17.260925,0.80123407,16600.0,0.18921167,0.19,0.09799781
3340.0,-23.907198,166,0.16322808,0.55,-13.509115,0.80120635,16700.0,0.18920034,0.18,0.09817184
3360.0,-23.623384,167,0.16322185,0.25,-16.885525,0.8012562,16800.0,0.18921156,0.13,0.0981762
3380.0,-21.749758,168,0.16315025,0.35,-16.48515,0.8012665,16900.0,0.1892307,0.16,0.0982938
3400.0,-21.785635,169,0.1630437,0.3,-16.729774,0.8012909,17000.0,0.18922931,0.19,0.09828962
3420.0,-22.372421,170,0.1629629,0.6,-11.221527,0.80132514,17100.0,0.18925436,0.15,0.09832572
3440.0,-22.599516,171,0.16302873,0.35,-16.732841,0.8014088,17200.0,0.18928078,0.21,0.0983704
3460.0,-22.908463,172,0.1630133,0.55,-14.434738,0.8014675,17300.0,0.1893077,0.19,0.09839074
3480.0,-24.288628,173,0.16298145,0.5,-11.661849,0.80158633,17400.0,0.18934686,0.17,0.09842717
3500.0,-24.784178,174,0.16303997,0.3,-16.138683,0.80168957,17500.0,0.1893697,0.18,0.098520376
3520.0,-24.125113,175,0.16297549,0.5,-14.057475,0.8018239,17600.0,0.18938775,0.13,0.09850159
3540.0,-22.82174,176,0.16297574,0.6,-10.877718,0.8018996,17700.0,0.18942988,0.25,0.09858584
3560.0,-23.11583,177,0.16296203,0.3,-15.362457,0.801925,17800.0,0.18945673,0.2,0.098590024
3580.0,-22.613598,178,0.16305399,0.45,-16.61748,0.80191827,17900.0,0.18945052,0.2,0.09866296
3600.0,-23.234169,179,0.1629906,0.55,-13.943298,0.8019971,18000.0,0.18947102,0.15,0.098672174
