test/mean_Q,train/success_rate,train/episode,stats_o/std,stats_g/std,stats_o/mean,stats_g/mean,test/success_rate,train/mean_Q,epoch,test/episode
-1.5998015,0.92,11600.0,0.09604358,0.08309593,0.20213695,0.8380432,0.95,-3.2272286,115,2320.0
-1.0886114,0.87,11700.0,0.096221596,0.083133556,0.20215628,0.83800834,1.0,-3.7878985,116,2340.0
-1.5286648,0.93,11800.0,0.096444055,0.083149344,0.20217378,0.8379557,1.0,-3.0791461,117,2360.0
-1.345659,0.88,11900.0,0.09660543,0.083077334,0.2021741,0.83793765,1.0,-3.1442275,118,2380.0
-1.4420218,0.92,12000.0,0.096796446,0.08310394,0.20219022,0.8378997,1.0,-3.3416348,119,2400.0
-1.8812472,0.98,12100.0,0.09679559,0.08303075,0.20216712,0.8378896,1.0,-2.6912963,120,2420.0
-1.2371421,0.94,12200.0,0.09684244,0.08297787,0.20215708,0.8378934,0.95,-3.0218472,121,2440.0
-1.5131633,0.88,12300.0,0.09687971,0.08295479,0.20220649,0.8379163,1.0,-2.867567,122,2460.0
-1.7923069,0.92,12400.0,0.09697185,0.08289975,0.20223153,0.83795667,0.95,-2.8073208,123,2480.0
-1.7877333,0.92,12500.0,0.09712743,0.08283309,0.20218788,0.8379503,0.95,-3.2234292,124,2500.0
-1.4877633,0.91,12600.0,0.09713758,0.08276088,0.2022031,0.8379385,1.0,-3.0308645,125,2520.0
-3.4371498,0.89,12700.0,0.09730199,0.08277756,0.2021699,0.8379529,0.95,-3.3975577,126,2540.0
-1.5789073,0.91,12800.0,0.09743854,0.08275744,0.20217271,0.83793783,1.0,-3.2884696,127,2560.0
-1.5235258,0.9,12900.0,0.097534895,0.08273648,0.20219162,0.8379528,1.0,-2.7851858,128,2580.0
-1.1207314,0.92,13000.0,0.097631715,0.082673214,0.20218462,0.8379436,1.0,-2.6357331,129,2600.0
-1.3899473,0.91,13100.0,0.097728804,0.08265851,0.20219147,0.83796525,1.0,-2.738981,130,2620.0
-1.0050266,0.92,13200.0,0.09784512,0.0825966,0.20215483,0.83792686,1.0,-2.5919504,131,2640.0
-1.5052092,0.94,13300.0,0.09789987,0.082570426,0.20216471,0.83789706,1.0,-2.7427306,132,2660.0
-1.3507792,0.92,13400.0,0.097809404,0.082542814,0.20216683,0.8379493,1.0,-2.690323,133,2680.0
-0.9253273,0.94,13500.0,0.097959794,0.082483955,0.20220986,0.83795214,1.0,-2.4769132,134,2700.0
-1.1823418,0.95,13600.0,0.09803359,0.082426004,0.20221776,0.83797216,1.0,-2.6305084,135,2720.0
-1.2775607,0.93,13700.0,0.098181695,0.08241294,0.20220381,0.83799857,1.0,-2.7498467,136,2740.0
-1.1138096,0.93,13800.0,0.09819718,0.08236981,0.20218727,0.83802456,1.0,-2.8356695,137,2760.0
-1.6071123,0.94,13900.0,0.098376915,0.08230957,0.20219526,0.8380684,1.0,-2.8466547,138,2780.0
-1.4883935,0.9,14000.0,0.098434955,0.08225996,0.20216839,0.8381023,1.0,-2.8577824,139,2800.0
-1.7879604,0.9,14100.0,0.098581664,0.082195915,0.20219964,0.8380997,0.95,-2.7621722,140,2820.0
-1.5191376,0.93,14200.0,0.098798916,0.08217629,0.20217793,0.83809733,1.0,-3.1144836,141,2840.0
-1.7360847,0.93,14300.0,0.09889803,0.08219861,0.20222513,0.8380863,1.0,-3.2312822,142,2860.0
-1.3912604,0.94,14400.0,0.09891261,0.0821655,0.20221512,0.8380727,1.0,-2.717693,143,2880.0
