test/mean_Q,train/episode,stats_o/mean,train/success_rate,stats_o/std,stats_g/mean,test/episode,train/mean_Q,stats_g/std,test/success_rate,epoch
-19.541023,12000.0,0.20347345,0.38,0.112525694,0.8414707,2400.0,-20.681355,0.09874615,0.4,119
-17.085962,12100.0,0.20343067,0.36,0.11249518,0.84143573,2420.0,-23.115051,0.09876058,0.55,120
-11.840069,12200.0,0.20345016,0.31,0.11250645,0.84148437,2440.0,-24.244911,0.0988443,0.5,121
-12.816185,12300.0,0.20341532,0.39,0.11266051,0.84148556,2460.0,-21.247557,0.09881575,0.65,122
-10.750264,12400.0,0.20343806,0.36,0.1129087,0.84149593,2480.0,-20.953363,0.098903455,0.65,123
-21.384315,12500.0,0.2034444,0.39,0.11303243,0.8414838,2500.0,-21.957449,0.09897154,0.45,124
-21.304813,12600.0,0.20341916,0.39,0.11318558,0.8414622,2520.0,-19.70922,0.09900763,0.4,125
-18.878561,12700.0,0.20339054,0.35,0.11323629,0.84146,2540.0,-21.33401,0.0990397,0.4,126
-15.725771,12800.0,0.20339167,0.37,0.11339848,0.84147376,2560.0,-22.249702,0.09909836,0.65,127
-22.575296,12900.0,0.20335989,0.36,0.11355237,0.84143895,2580.0,-21.199026,0.099190004,0.4,128
-16.157492,13000.0,0.20332547,0.4,0.11369497,0.8413804,2600.0,-19.830614,0.099246226,0.55,129
-16.754768,13100.0,0.20333807,0.4,0.113834426,0.8413079,2620.0,-18.908863,0.099312,0.6,130
-12.698308,13200.0,0.20333582,0.44,0.113935985,0.841295,2640.0,-18.660585,0.09926937,0.55,131
-16.736597,13300.0,0.20333984,0.43,0.1141675,0.84131193,2660.0,-18.115969,0.09925959,0.6,132
-16.173075,13400.0,0.20333073,0.38,0.11439156,0.8413269,2680.0,-17.673492,0.09921745,0.5,133
-16.56785,13500.0,0.20333174,0.43,0.11457346,0.84138125,2700.0,-15.295127,0.09924861,0.5,134
-14.308321,13600.0,0.20330897,0.47,0.11486806,0.84134644,2720.0,-15.27416,0.09928674,0.55,135
-12.375216,13700.0,0.20332046,0.41,0.115093775,0.8413871,2740.0,-15.353885,0.099368304,0.65,136
-18.845478,13800.0,0.20327604,0.47,0.11535144,0.8413902,2760.0,-15.265425,0.099506766,0.35,137
-10.746417,13900.0,0.20326649,0.4,0.115567245,0.8413785,2780.0,-16.470936,0.09956906,0.7,138
-6.676515,14000.0,0.2032524,0.46,0.11568873,0.84136873,2800.0,-15.126259,0.099636756,0.8,139
-10.472887,14100.0,0.20322862,0.49,0.11584448,0.84137344,2820.0,-14.228795,0.099670894,0.7,140
-11.976909,14200.0,0.20322827,0.44,0.115881465,0.84139436,2840.0,-16.293245,0.099642456,0.6,141
-19.900566,14300.0,0.2032069,0.42,0.11597511,0.8414137,2860.0,-15.603534,0.0997164,0.3,142
-16.35146,14400.0,0.20318305,0.4,0.11596203,0.84145474,2880.0,-15.613082,0.09966633,0.5,143
